238 , 238
165 , 170
167 , 171
166 , 170
165 , 168
163 , 166
161 , 164
159 , 161
157 , 159
155 , 155
152 , 152
150 , 149
148 , 145
145 , 141
143 , 137
141 , 133
139 , 128
138 , 123
137 , 118
137 , 113
138 , 107
138 , 102
139 , 96
141 , 96
141 , 96
138 , 97
137 , 101
136 , 106
136 , 112
137 , 117
138 , 123
139 , 128
141 , 133
143 , 137
146 , 141
149 , 146
150 , 148
152 , 151
154 , 154
155 , 156
158 , 159
159 , 160
160 , 162
159 , 162
161 , 164
161 , 164
162 , 165
162 , 164
162 , 165
162 , 165
161 , 164
160 , 163
159 , 161
158 , 160
156 , 158
155 , 156
154 , 155
152 , 152
150 , 149
148 , 147
146 , 143
145 , 140
142 , 136
141 , 133
140 , 128
139 , 124
138 , 119
138 , 114
139 , 109
140 , 104
141 , 100
142 , 97
141 , 97
140 , 98
139 , 103
138 , 107
137 , 113
137 , 118
138 , 124
140 , 129
142 , 134
144 , 138
146 , 142
148 , 146
150 , 150
153 , 153
155 , 157
157 , 160
159 , 162
161 , 165
163 , 167
164 , 169
165 , 171
166 , 172
167 , 173
168 , 174
168 , 175
168 , 175
167 , 175
167 , 175
166 , 174
165 , 174
164 , 173
163 , 172
161 , 171
159 , 169
157 , 167
154 , 165
152 , 163
149 , 161
146 , 159
142 , 157
139 , 154
135 , 152
131 , 150
127 , 148
122 , 146
117 , 145
112 , 144
99 , 137
96 , 140
96 , 146
96 , 150
96 , 153
96 , 153
96 , 150
96 , 145
96 , 140
96 , 135
109 , 142
117 , 145
122 , 147
127 , 149
132 , 151
135 , 153
139 , 155
142 , 157
144 , 159
147 , 161
149 , 162
152 , 164
154 , 166
155 , 166
156 , 167
157 , 168
157 , 168
158 , 169
158 , 169
159 , 170
158 , 169
157 , 168
156 , 167
155 , 166
153 , 165
152 , 164
150 , 163
148 , 161
145 , 158
143 , 157
140 , 155
138 , 154
134 , 151
131 , 150
127 , 148
122 , 147
118 , 145
113 , 145
105 , 142
96 , 140
96 , 145
96 , 150
96 , 153
96 , 153
96 , 150
96 , 146
96 , 140
102 , 140
112 , 144
117 , 145
122 , 146
127 , 148
132 , 150
136 , 153
140 , 155
144 , 158
147 , 160
150 , 162
153 , 164
156 , 166
158 , 168
161 , 170
162 , 171
163 , 172
165 , 173
166 , 174
167 , 174
168 , 175
168 , 175
168 , 175
168 , 174
