x,y,theta
2.250000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.399999999999999911e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.549999999999999822e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.699999999999999734e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.850000000000000089e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.149999999999999911e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.299999999999999822e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.449999999999999734e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.599999999999999645e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.899999999999999911e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.049999999999999822e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.200000000000000178e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.349999999999999645e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.649999999999999467e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.799999999999999822e+00,1.000000000000000000e+00,0.000000000000000000e+00
